ANT1,83.81,55.42,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,78.89,56.69,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,60.20,63.19,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,78.01,60.06,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,75.82,60.19,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,73.13,56.69,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,72.94,58.19,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,66.25,56.69,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,69.06,58.69,0.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,71.14,58.69,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,65.18,54.19,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,64.99,53.19,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,58.80,48.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,79.61,58.19,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,49.42,71.19,270.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,65.50,48.19,90.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,67.31,47.19,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,79.62,53.19,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,42.43,45.69,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,41.37,46.19,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,46.32,40.69,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,69.59,40.96,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C29,50.90,43.46,90.00,1uF,GRM011R60J152KE01L_1_0201
C3,75.21,53.19,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,72.75,43.46,0.00,1uF,GRM011R60J152KE01L_1_0201
C31,61.79,43.61,0.00,1uF,GRM011R60J152KE01L_1_0201
C32,58.33,46.46,0.00,1uF,GRM011R60J152KE01L_1_0201
C33,47.91,40.69,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,77.95,50.46,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C37,71.03,41.69,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,70.84,44.19,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,71.15,43.19,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,78.27,53.32,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,68.56,40.96,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,76.31,44.19,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,64.62,56.19,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,65.20,50.19,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,70.51,47.69,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,74.82,48.69,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,74.86,51.69,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,45.21,67.42,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,62.37,63.27,270.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,45.68,69.92,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,44.99,65.29,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
DMG2305UX-7,84.56,48.42,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
EPD_C1,52.84,59.19,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,53.79,50.84,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,53.60,49.84,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,52.18,48.34,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,52.99,60.34,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,53.30,56.84,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C6,53.88,55.61,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,54.19,54.34,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,53.77,53.34,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,53.47,52.16,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,68.39,43.34,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,58.01,44.07,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,58.59,51.84,0.00,BMA421,BMA423_BMA423
IC9,44.94,44.84,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,49.44,55.88,270.00,503480-2400,503480-2400_5034802400
J2,78.46,66.42,180.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,64.77,70.03,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,76.76,53.84,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,67.34,56.84,90.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,67.15,58.84,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,55.58,64.53,270.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,49.97,45.84,90.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,52.82,70.84,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,47.13,42.11,270.00,3K3,CPF0201D7K68C1_0201
R18,48.67,43.11,90.00,3K3,CPF0201D7K68C1_0201
R1_ED_DR,53.71,68.61,270.00,0.47,CPF0201D7K68C1_0201
